City,State,Population Growth Rate,Number of Burgalaries reported,Property Crime Rate,Housing Construction,Mass Markets2,Diverse Workers2,Well-heeled Affluents2
Beverly Hills,California,0,0,0,0,0.0007,0.000008,0
Big Bear Lake,California,0,0,0,0,0,0,0.000009
Biggs,California,0.0001,0,0,0,0.0002,0.000019,0
Birmingham,Alabama,0,0.0004,0.0003,0,0.0026,0.000629,0.000465
Bishop,California,0,0,0,0,0.0001,0.00001,0.000013
Black Hawk,Colorado,0,0,0,-0.0001,-0.0001,0.00001,0.000001
Blackfoot,Idaho,0,0,0,0,0.0002,0.000063,0.000055
Blandinsville,Illinois,0.0001,0,0,0.0003,0.0004,0.000004,0.000001
Bloomfield,Connecticut,0,0,0,0,0.0002,0.000046,0.000002
Bloomfield,Kentucky,0.0001,0,0,0.0001,0.0001,0.000011,0.000006
Bloomfield,Iowa,0.0001,0,0,0,0.0001,0.000018,0.000009
Bloomingdale,Illinois,0,0,0,0.0001,0.0001,0.000024,0
Bloomington,Illinois,0,0,0,0,0.0004,0.000116,0.000153
Blountstown,Florida,-0.0001,0,0,-0.0001,-0.0002,0.000005,0.000037
Blountsville,Alabama,0,0,0,0,0.0001,0.000012,0.000037
Bluffs,Illinois,0,0,0,0,0,0.000002,0
Bluffton,Indiana,0,0,0,0,0.0001,0.000015,0.00006
Blythe,California,0,0,0,0,0.0001,0.000011,0.000048
Blytheville,Arkansas,0,0,0,0,0.0001,0.000032,0.000057
Boca Raton,Florida,0,0,0,0,0.0005,0.000081,0.000113
Boise,Idaho,0,0.0001,0.0001,0,0.001,0.000235,0.000299
Bolingbrook,Illinois,0,0,0,0.0001,0.0003,0.000032,0.000014
Bonifay,Florida,0,0,0,0,0,0.000019,0.000027
Bonner Springs,Kansas,0,0,0,0,0.0001,0.000021,0.00001
Bonners Ferry,Idaho,-0.0001,0,0,-0.0002,-0.0003,0.000004,0.000018
Bono,Arkansas,-0.0001,0,0,0,-0.0001,0.000022,0.000021
Boone,Iowa,0,0,0,0,0.0001,0.000023,0.000027
Booneville,Arkansas,0.0001,0,0,0,0.0001,0.000019,0.000015
Boonville,Indiana,0,0,0,0,0.0001,0.000012,0.000029
Boothbay Harbor,Maine,0,0,0,0,0,0.000002,0.000001
Boulder,Colorado,0,0,0.0001,0,0.0005,0.000055,0.000018
Bourbonnais,Illinois,0,0,0,0,0.0002,0.000056,0.000019
Bowie,Maryland,0,0,0,0,0.0006,0,0
Bowling Green,Kentucky,0,0,0.0001,0,0.0006,0.000124,0.000226
Bowling Green,Florida,0,0,0,0,0,0.000006,0.000027
Boynton Beach,Florida,0,0.0001,0.0001,0,0.0004,0.000102,0.000079
Bradenton,Florida,0,0,0,0,0.0009,0.000165,0.000449
Bradenton Beach,Florida,0,0,0,0,0.0001,0.000008,0.000002
Bradford,Arkansas,0,0,0,0,0,0.000006,0.00002
Bradley,Illinois,-0.0001,0,0,-0.0001,-0.0001,0.000028,0.00002
Braidwood,Illinois,0,0,0,0,0,0.000013,0.000001
Braintree,Massachusetts,0,0,0,0,0.0003,0.000006,0.000006
Brandenburg,Kentucky,0,0,0,0.0002,0.0003,0.00003,0.00003
Branford,Connecticut,0,0,0,0.0001,0.0003,0.000047,0.000001
Brawley,California,0.0001,0,0,0,0.0002,0.000013,0.000095
Brea,California,0,0,0,0,0.0002,0.000019,0.000003
Breckenridge,Colorado,0.0001,0,0,0,0.0003,0.000092,0
Breese,Illinois,-0.0001,0,0,-0.0001,-0.0001,0.00001,0.000002
Bremen,Indiana,0,0,0,0,0,0.000019,0.000009
Brent,Alabama,-0.0002,0,0,-0.0002,-0.0003,0.000001,0.000022
Brentwood,Maryland,0.0002,0,0,0.0001,0.0003,0.000017,0
Brentwood,California,0.0001,0,0,0.0001,0.0002,0.000017,0.000002
Brewer,Maine,0,0,0,0,0,0.000014,0.000022
Brewster,Massachusetts,0,0,0,0,0.0001,0.00001,0.000001
Brewton,Alabama,0,0,0,0,0.0002,0.000022,0.00009
Bridgeport,Connecticut,0,0.0001,0.0001,0,0.0007,0.000073,0.000323
Bridgeville,Delaware,0.0002,0,0,0.0003,0.0005,0.000007,0.000021
Brighton,Colorado,0,0,0,0.0001,0.0005,0.000162,0.000046
Brighton,Illinois,-0.0001,0,0,-0.0001,-0.0002,0.000012,0.000001
Brilliant,Alabama,-0.0001,0,0,-0.0001,-0.0002,0.000002,0.000008
Brimfield,Massachusetts,0,0,0,0.0001,0.0001,0,0
Brinkley,Arkansas,-0.0001,0,0,0,0,0.000002,0.000018
Brisbane,California,0.0001,0,0,-0.0002,-0.0002,0,0
Bristol,Connecticut,0,0,0,0,0.0003,0.000114,0.000079
Broadview,Illinois,0,0,0,0,0,0.000014,0.000002
Brockton,Massachusetts,0,0.0001,0.0001,0,0.0005,0.000046,0.000186
Bronson,Michigan,0.0001,0,0,0,0.0001,0.000012,0.000007
Bronx,New York,0.0001,0.0011,0.0015,0,0.009,0.003257,0.002282
Brookfield,Connecticut,0,0,0,0,0.0001,0.000005,0
Brookfield,Illinois,0,0,0,0,0.0001,0.000006,0.000001
Brookland,Arkansas,-0.0001,0,0,-0.0002,-0.0003,0.000009,0.000009
Brookline,Massachusetts,0,0,0,0,0.0003,0.000005,0
Brooksville,Florida,0,0,0,0,0.0002,0.000049,0.000128
Brookwood,Alabama,0.0001,0,0,0.0001,0.0001,0.000009,0.000003
Broomfield,Colorado,0.0001,0,0,0,0.0005,0.0002,0.000019
Brown City,Michigan,-0.0001,0,0,-0.0001,-0.0002,0.000013,0.000017
Brownsburg,Indiana,0,0,0,0.0001,0.0002,0.000108,0.000009
Brownstown,Indiana,0.0002,0,0,0,0.0002,0.000006,0.000008
Brownsville,Kentucky,-0.0002,0,0,-0.0002,-0.0003,0.000006,0.000018
Brownville,Maine,-0.0005,0,0,0,-0.0005,0.000001,0.000004
Brunswick,Maine,0,0,0,0,0.0001,0.00003,0.00001
Brunswick,Maryland,0,0,0,-0.0001,0,0.000004,0
Brush,Colorado,0,0,0,0,0,0.000006,0.000016
Buchanan,Michigan,0,0,0,0,0.0001,0.000029,0.000013
Buckeye,Arizona,0.0001,0,0,0.0001,0.0005,0.000296,0.000017
Bucklin,Kansas,0.0002,0,0,0.0001,0.0003,0,0.000001
Bucksport,Maine,0,0,0,0.0002,0.0003,0.000035,0.000001
Buellton,California,-0.0001,0,0,0.0001,0.0001,0,0
Buena Park,California,0,0,0,0,0.0003,0.000049,0.000049
Buena Vista,Colorado,0.0001,0,0,0.0001,0.0002,0.000007,0.000007
Buffalo,Iowa,0.0002,0,0,0.0002,0.0004,0.000001,0
Buffalo,Minnesota,0,0,0,0,0,0.000041,0.000008
Buffalo Grove,Illinois,0,0,0,0,0.0004,0.00004,0.000001
Buhl,Idaho,-0.0001,0,0,-0.0001,-0.0001,0.000011,0.000023
Bull Shoals,Arkansas,0,0,0,-0.0001,0,0.000001,0.000004
Bullhead City,Arizona,0,0,0,0,0.0003,0.000015,0.000167
Bunkie,Louisiana,0,0,0,0.0001,0.0001,0.000007,0.000024
Bunnell,Florida,0.0001,0,0,0.0002,0.0003,0.000004,0.00001
Burbank,California,0,0,0,0,0.0003,0.000078,0.000015
Burbank,Illinois,0,0,0,0,0.0001,0.000067,0
Burkesville,Kentucky,0,0,0,0,0.0001,0.000007,0.000031
Burlingame,California,0.0001,0,0,0,0.0007,0.000003,0
Burlington,Massachusetts,0.0001,0,0,0.0001,0.0004,0.000005,0
Burlington,Iowa,0,0,0,0,0.0001,0.00005,0.000056
Burlington,Kansas,0,0,0,0,0.0001,0.000008,0.000005
Burlington,Colorado,0,0,0,0,0,0.000006,0.000011
Burnside,Kentucky,0,0,0,0.0001,0.0001,0.000001,0.000019
Burnsville,Minnesota,0,0,0,0,0.0004,0.000138,0.000013
Burr Oak,Michigan,0.0002,0,0,0,0.0002,0.000009,0.000003
Burrton,Kansas,0,0,0,0.0001,0.0002,0.000001,0.000003
Burton,Michigan,0,0,0,0,0.0001,0.000053,0.000041
Bushton,Kansas,0,0,0,-0.0002,-0.0002,0,0.000001
Butler,Alabama,0.0001,0,0,0.0001,0.0002,0.000011,0.000012
Buxton,Maine,0,0,0,-0.0001,0,0.000012,0
Byhalia,Mississippi,0.0001,0,0,0.0001,0.0002,0.00006,0.000021
Byram,Mississippi,-0.0001,0,0,0.0001,0.0001,0.000017,0.000003
Byron,Illinois,0,0,0,0.0001,0.0001,0.000014,0
Cabool,Missouri,0.0001,0,0,0,0.0001,0.000005,0.000017
Cabot,Arkansas,0.0001,0,0,0.0001,0.0003,0.000108,0.000017
Cadillac,Michigan,0,0,0,-0.0001,0.0001,0.000016,0.000117
Cadiz,Kentucky,0,0,0,0,0.0001,0.000023,0.000035
Cairo,Illinois,0,0,0,0,0,0.000001,0.000014
Calabasas,California,0,0,0,0.0001,0.0005,0.000001,0
Calais,Maine,0,0,0,0,0,0.000002,0.000016
Caldwell,Idaho,0,0,0,0,0.0003,0.000126,0.000126
Caledonia,Minnesota,0,0,0,0.0002,0.0002,0.000009,0.000003
Calexico,California,0,0,0,0,0.0002,0.000094,0.000046
California,Missouri,0,0,0,0.0001,0.0001,0.000024,0.000011
California City,California,0,0,0,0,0,0.000023,0.000012
Calimesa,California,0.0001,0,0,0.0001,0.0002,0.000016,0.000001
Calistoga,California,0,0,0,0.0001,0.0002,0.000014,0
Calumet,Michigan,0,0,0,-0.0001,-0.0001,0.000006,0.000026
Calumet City,Illinois,0,0,0,0,0.0002,0.000052,0.000021
Calvert City,Kentucky,0.0001,0,0,0.0001,0.0002,0.000016,0.000005
Camanche,Iowa,0,0,0,-0.0001,0,0.000015,0.000001
Cambridge,Massachusetts,0,0,0,0,0.0003,0.000082,0.000013
Cambridge,Illinois,0.0001,0,0,0.0001,0.0003,0.000004,0.000002
Cambridge,Minnesota,0,0,0,0,0.0001,0.000038,0.00001
Cambridge,Maryland,0,0,0,0,0,0.000011,0.00005
Camden,Arkansas,0,0,0,0,0,0.000035,0.00003
Camden,Maine,0,0,0,0,0,0.00001,0.000005
Camdenton,Missouri,0,0,0,0.0001,0.0001,0.000008,0.000035
Cameron,Missouri,0.0001,0,0,0.0001,0.0002,0.000018,0.000012
Camp Verde,Arizona,0,0,0,0.0001,0.0001,0.000013,0.000026
Campbell,California,0,0,0,0,0.0001,0.000008,0.000006
Campbell,Missouri,0,0,0,0,-0.0001,0.000009,0.000009
Campbellsville,Kentucky,0.0001,0,0,0,0.0002,0.000062,0.000053
Campo,Colorado,-0.0002,0,0,-0.0001,-0.0003,0,0
Canby,Minnesota,0.0001,0,0,0,0.0001,0.000003,0.000002
Cannon Falls,Minnesota,-0.0001,0,0,-0.0001,-0.0001,0.000018,0.000003
Canon City,Colorado,0,0,0,0.0001,0.0002,0.000041,0.000043
Canton,Massachusetts,0,0,0,0.0001,0.0003,0.000009,0
Canton,Connecticut,0,0,0,0.0001,0.0001,0.000002,0
Canton,Missouri,0,0,0,0,0,0.000006,0.000009
Canton,Illinois,0,0,0,0,0,0.000041,0.00005
Capac,Michigan,0,0,0,0,0.0001,0.000013,0.000008
Cape Coral,Florida,0,0,0.0001,0,0.0008,0.000351,0.000304
Cape Elizabeth,Maine,0,0,0,0,0.0001,0.000001,0
Cape Girardeau,Missouri,0,0,0,0.0001,0.0003,0.000064,0.000029
Capitol Heights,Maryland,0.0001,0,0,0,0.0003,0.000076,0.000002
Capitola,California,0,0,0,0,0.0001,0.000024,0
Caraway,Arkansas,-0.0001,0,0,-0.0001,-0.0002,0,0.000013
Carbondale,Illinois,0,0,0,0,0.0001,0.000013,0.000023
Carencro,Louisiana,0,0,0,-0.0001,0,0.000038,0.000036
Caribou,Maine,0,0,0,0,0.0001,0.000028,0.000017
Carl Junction,Missouri,0,0,0,-0.0001,0,0.000029,0.000008
Carlinville,Illinois,0.0001,0,0,0.0001,0.0002,0.000011,0.000023
Carlisle,Iowa,0.0001,0,0,0.0001,0.0002,0.000021,0
Carlisle,Arkansas,0.0001,0,0,0,0.0001,0.000018,0.000006
Carlisle,Kentucky,0,0,0,0,0.0001,0.00001,0.000029
Carlsbad,California,0,0,0,0,0.0004,0.000044,0.00001
Carlyle,Illinois,0,0,0,0.0001,0.0002,0.000018,0.000018
Carmel,California,0,0,0,0,0,0,0
Caro,Michigan,0,0,0,0,0,0.000009,0.000026
Carol Stream,Illinois,0,0,0,0,0.0001,0.000028,0.000013
Carpentersville,Illinois,0,0,0,0,0.0002,0.000127,0.000032
Carpinteria,California,0,0,0,-0.0001,-0.0001,0.000009,0
Carrabelle,Florida,0.0001,0,0,0.0001,0.0002,0.000001,0.000007
Carroll,Iowa,0,0,0,0,0.0001,0.000027,0.000008
Carrollton,Missouri,0,0,0,0,0,0.000002,0.000012
Carrollton,Kentucky,-0.0001,0,0,0,-0.0001,0.000007,0.000015
Carson,California,0,0,0,0,0.0002,0.000063,0.000002
Carter Lake,Iowa,0,0,0,-0.0001,-0.0001,0.000007,0.000002
Carterville,Missouri,0,0,0,0.0001,0.0002,0.000003,0.000006
Carterville,Illinois,0,0,0,0,0,0.000017,0.000021
Carthage,Missouri,-0.0001,0,0,0,0.0001,0.000044,0.000081
Carthage,Illinois,-0.0001,0,0,0,-0.0001,0.000011,0.000011
Caruthersville,Missouri,0,0,0,0.0001,0.0001,0.000008,0.000019
