customer_segments,pay_more_to_buy_top
Comfortable Retirees,1074724
Diverse Workers,3840480
Elder Midscale Class,2002658
Elite Households,2307314
Mass Markets,4478194
Modest Families,1734094
Prosperous Acheivers,1906798
Upscale Matures,1294054
Well-heeled Affluents,1513888
Young Affluent Mobiles,3370282
Young Upscale Families,3536606
Young Urban Masses,3410736
