customer_segments,high_medium_ipa
Comfortable Retirees,6720366
Diverse Workers,18256694
Elder Midscale Class,9989788
Elite Households,7302264
Mass Markets,17117186
Modest Families,7562912
Prosperous Acheivers,7100652
Upscale Matures,5752784
Well-heeled Affluents,5139036
Young Affluent Mobiles,10810224
Young Upscale Families,12534420
Young Urban Masses,12812872
