customer_segments,household_counts
Comfortable Retirees,3502870
Diverse Workers,9067386
Elder Midscale Class,5126538
Elite Households,3782280
Mass Markets,8944892
Modest Families,3922926
Prosperous Acheivers,3653326
Upscale Matures,2990662
Well-heeled Affluents,2647809
Young Affluent Mobiles,5455273
Young Upscale Families,6370407
Young Urban Masses,6709160
