customer_segments,will_switch_brands
Comfortable Retirees,759639
Diverse Workers,2286425
Elder Midscale Class,1081551
Elite Households,887918
Mass Markets,2168742
Modest Families,1076186
Prosperous Acheivers,704491
Upscale Matures,596014
Well-heeled Affluents,522831
Young Affluent Mobiles,1345477
Young Upscale Families,1472441
Young Urban Masses,1686936
